val_loss,val_accuracy,val_mean_squared_error,loss,accuracy,mean_squared_error,lr
0.8010867834091187,0.8550866842269897,0.0038071535527706146,2.525302500579193,0.349109411239624,0.013753633014857769,0.0010000000474974513
0.14688698947429657,0.9473339915275574,0.0016447835369035602,0.6375521596878976,0.8161577582359314,0.004793732427060604,0.0010000000474974513
0.03981117904186249,0.96467125415802,0.001002930337563157,0.3691304424945881,0.8938931226730347,0.0028689680621027946,0.0010000000474974513
0.13415946066379547,0.9741576910018921,0.0007365964120253921,0.22986243481623483,0.9296456575393677,0.0018801833502948284,0.0010000000474974513
0.052238158881664276,0.9705593585968018,0.0008268223609775305,0.17862394965186687,0.9449109435081482,0.0014950779732316732,0.0010000000474974513
0.29187336564064026,0.9218187928199768,0.002176897134631872,0.14679007917187112,0.9534794688224792,0.0012579381000250578,0.0010000000474974513
0.12092487514019012,0.9695780277252197,0.0008906544535420835,0.14279315278000995,0.9564388990402222,0.0011743020731955767,0.0010000000474974513
0.4203606843948364,0.9764475226402283,0.0007079268689267337,0.05498559992021772,0.9859800934791565,0.00041444445378147066,0.00010000000474974513
0.00016478598990943283,0.9727332592010498,0.0007298695272766054,0.05079278993566512,0.9861323237419128,0.0003887465863954276,0.00010000000474974513
0.004419978242367506,0.9787372946739197,0.0005728609394282103,0.03486832756767866,0.9900763630867004,0.0002811372105497867,0.00010000000474974513
0.0025112798903137445,0.98233562707901,0.00047402959899045527,0.030785261675175146,0.9908397197723389,0.0002646264620125294,0.00010000000474974513
7.810701208654791e-05,0.9820085167884827,0.0004740224976558238,0.026350043902903617,0.9912213683128357,0.0002224214404122904,0.00010000000474974513
0.1307792216539383,0.9764475226402283,0.0006488249055109918,0.029523358932797984,0.9906958937644958,0.00025935343001037836,0.00010000000474974513
0.17223027348518372,0.983316957950592,0.00045049202162772417,0.021955067377020503,0.9936386942863464,0.00018902109877672046,0.00010000000474974513
0.29963499307632446,0.9816814064979553,0.0005212543183006346,0.017891476058713565,0.9949018359184265,0.0001518310309620574,0.00010000000474974513
0.018166540190577507,0.9807000160217285,0.0005778109189122915,0.02057944362692201,0.9937658905982971,0.00016877271991688758,0.00010000000474974513
0.00011021645332220942,0.986588180065155,0.0004091114387847483,0.016283074507356846,0.9956820011138916,0.00012978454469703138,1.0000000656873453e-05
5.523319032363361e-06,0.980289101600647,0.0005337026086635888,0.017275111681875965,0.9951654076576233,0.00013691022468265146,1.0000000656873453e-05
0.003610126208513975,0.9839712381362915,0.00047095416812226176,0.014980003434832344,0.9966921210289001,0.00010863461648114026,1.0000000656873453e-05
0.010940078645944595,0.9875695109367371,0.0003594445588532835,0.015148199956699122,0.9957940578460693,0.00012105039058951661,1.0000000656873453e-05
0.11403073370456696,0.9842983484268188,0.0004993575857952237,0.011655903481315791,0.9966921210289001,9.568468522047624e-05,1.0000000656873453e-05
0.19153150916099548,0.983316957950592,0.0004695765965152532,0.013474653255053301,0.9970685839653015,0.00010015228326665238,1.0000000656873453e-05
0.00020141826826147735,0.9829898476600647,0.0004714042297564447,0.013960812063357956,0.994656503200531,0.00012811753549613059,1.0000001111620804e-06
0.01955268904566765,0.9820085167884827,0.0005375084583647549,0.012889221041521366,0.9955549836158752,0.00011154636013088748,1.0000001111620804e-06
