,precision,recall,f1-score,support
001,0.6666666666666666,0.17142857142857143,0.27272727272727276,35.0
002,0.0,0.0,0.0,1.0
003,0.0,0.0,0.0,0.0
004,0.4444444444444444,0.14285714285714285,0.21621621621621623,28.0
005,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
006,1.0,0.23684210526315788,0.38297872340425526,38.0
007,0.0,0.0,0.0,0.0
008,0.0,0.0,0.0,0.0
009,1.0,0.2727272727272727,0.42857142857142855,33.0
010,0.0,0.0,0.0,1.0
011,0.3333333333333333,0.16666666666666666,0.2222222222222222,18.0
012,0.6666666666666666,0.14634146341463414,0.24,41.0
013,0.0,0.0,0.0,0.0
014,0.3333333333333333,0.75,0.46153846153846156,4.0
015,0.0,0.0,0.0,0.0
016,0.2222222222222222,0.4,0.2857142857142857,5.0
017,0.0,0.0,0.0,0.0
018,0.0,0.0,0.0,0.0
019,0.0,0.0,0.0,0.0
020,0.0,0.0,0.0,0.0
021,0.0,0.0,0.0,0.0
022,0.0,0.0,0.0,0.0
023,0.0,0.0,0.0,0.0
024,0.4444444444444444,0.8,0.5714285714285714,5.0
025,0.1111111111111111,1.0,0.19999999999999998,1.0
026,0.3333333333333333,0.12,0.1764705882352941,25.0
027,0.2222222222222222,0.18181818181818182,0.19999999999999998,11.0
028,0.6666666666666666,1.0,0.8,6.0
029,0.8888888888888888,0.1702127659574468,0.2857142857142857,47.0
030,0.0,0.0,0.0,0.0
031,0.6666666666666666,0.18181818181818182,0.28571428571428575,33.0
032,1.0,0.25,0.4,36.0
033,0.1111111111111111,0.04,0.058823529411764705,25.0
034,0.0,0.0,0.0,0.0
035,1.0,0.16981132075471697,0.2903225806451613,53.0
036,0.0,0.0,0.0,0.0
037,0.0,0.0,0.0,0.0
038,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
039,0.0,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0
041,0.1111111111111111,1.0,0.19999999999999998,1.0
042,0.0,0.0,0.0,0.0
043,0.0,0.0,0.0,11.0
044,0.5555555555555556,0.7142857142857143,0.6250000000000001,7.0
045,0.0,0.0,0.0,1.0
046,0.0,0.0,0.0,1.0
047,0.0,0.0,0.0,0.0
048,0.0,0.0,0.0,0.0
049,0.6666666666666666,0.46153846153846156,0.5454545454545455,13.0
050,0.0,0.0,0.0,0.0
051,1.0,1.0,1.0,9.0
052,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0
053,0.0,0.0,0.0,0.0
054,0.0,0.0,0.0,0.0
055,0.7777777777777778,1.0,0.8750000000000001,7.0
056,0.6666666666666666,0.13333333333333333,0.2222222222222222,45.0
057,0.0,0.0,0.0,7.0
058,0.0,0.0,0.0,0.0
059,0.1111111111111111,0.5,0.1818181818181818,2.0
060,0.0,0.0,0.0,0.0
061,0.0,0.0,0.0,0.0
062,0.0,0.0,0.0,0.0
063,0.0,0.0,0.0,0.0
064,0.0,0.0,0.0,0.0
065,0.0,0.0,0.0,0.0
066,0.0,0.0,0.0,0.0
067,0.0,0.0,0.0,0.0
068,0.0,0.0,0.0,0.0
069,0.0,0.0,0.0,0.0
070,0.1111111111111111,0.25,0.15384615384615383,4.0
071,0.5555555555555556,1.0,0.7142857142857143,5.0
072,0.0,0.0,0.0,0.0
073,0.1111111111111111,0.5,0.1818181818181818,2.0
074,0.5555555555555556,0.38461538461538464,0.4545454545454546,13.0
075,1.0,0.6923076923076923,0.8181818181818181,13.0
076,0.4444444444444444,1.0,0.6153846153846153,4.0
077,0.0,0.0,0.0,0.0
078,1.0,0.2647058823529412,0.4186046511627907,34.0
079,1.0,0.16981132075471697,0.2903225806451613,53.0
080,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
081,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
082,0.5555555555555556,0.38461538461538464,0.4545454545454546,13.0
083,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
084,0.0,0.0,0.0,0.0
085,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
086,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
087,0.0,0.0,0.0,0.0
088,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
089,1.0,0.47368421052631576,0.6428571428571429,19.0
090,0.7777777777777778,0.6363636363636364,0.7000000000000001,11.0
091,1.0,0.32142857142857145,0.4864864864864865,28.0
092,0.6666666666666666,0.8571428571428571,0.75,7.0
093,0.0,0.0,0.0,0.0
094,0.0,0.0,0.0,0.0
095,0.0,0.0,0.0,8.0
096,1.0,0.10227272727272728,0.18556701030927836,88.0
097,0.0,0.0,0.0,0.0
098,0.3333333333333333,1.0,0.5,3.0
099,0.1111111111111111,1.0,0.19999999999999998,1.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.7777777777777778,0.22580645161290322,0.35000000000000003,31.0
105,1.0,0.21428571428571427,0.35294117647058826,42.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.3333333333333333,0.1875,0.24000000000000005,16.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.1111111111111111,1.0,0.19999999999999998,1.0
112,0.0,0.0,0.0,0.0
113,1.0,0.32142857142857145,0.4864864864864865,28.0
114,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
115,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
